transactionID,dateTime,customerID,productID,categoryID,storeID,salesPersonID,productValue
397,11015280,,5233,133,27,,8
397,11015280,,3663,24,27,,2.8
397,11015280,,5432,44,27,,2.5
397,11015280,,3218,101,27,,7.5
2945,5747640,,1842,41,35,,27.7
2945,5747640,,867,109,35,,11.9
3138,5750340,,843,69,35,,3.4
3138,5750340,,1209,109,35,,12.49
8555,25268340,156049,2491,44,36,47,4.41
8555,25268340,156049,5774,136,36,47,18.45
9976,22239540,,5410,140,11,71,6.5
10955,16742820,,4050,71,29,,3.4
10955,16742820,,4052,71,29,,4.8
16484,107529540,,8468,101,1,2,8
17782,23025120,,4075,92,7,57,21.7
18175,15871500,,3988,71,21,,13.95
18517,25195920,,5535,140,30,81,21
18517,25195920,,4552,146,30,81,29.8
18517,25195920,,5587,101,30,81,25.6
19166,324120,,1910,48,3,,12
19166,324120,,8629,173,3,,7
20130,25376040,,1160,92,36,129,15.2
20713,23049420,,5591,40,16,42,10.92
20713,23049420,,6996,40,16,42,4.08
23563,61219140,,6213,99,38,27,13.5
24378,57945480,30939,6973,91,38,142,10.4
26142,19482600,,1665,92,1,,18.5
26142,19482600,,3959,92,1,,18.5
35190,21912480,,5559,140,21,147,4
35190,21912480,,5538,140,21,147,4
37229,27271800,,6995,40,1,34,6.8
42374,13348140,,5534,44,5,,1
42374,13348140,,1760,71,5,,4.8
42374,13348140,,1759,71,5,,3.4
42374,13348140,,1038,110,5,,5
45415,4826520,,4363,127,11,,10
45415,4826520,,2952,75,11,,16.5
46993,6466920,,4437,71,8,,7
46993,6466920,,8629,173,8,,10
49099,12652260,,2822,144,33,132,10.5
49099,12652260,,3950,134,33,132,8.5
49099,12652260,,1013,110,33,132,5
49246,24152760,22657,1142,92,15,1,15.2
49246,24152760,22657,5133,131,15,1,13.4
53423,5745720,,846,68,16,,16
54996,58286940,,3280,71,36,207,3.5
54996,58286940,,3281,71,36,207,3.5
54996,58286940,,4325,71,36,207,1
55815,26140440,,5315,146,4,117,15.4
56141,21478560,,2194,49,28,62,13.9
56593,23726460,,2971,140,7,165,11.3
64097,22238820,,5481,163,22,,13.2
64097,22238820,,5993,134,22,,10.9
67694,6713280,,832,68,35,,16.5
67997,28481640,,7103,148,32,30,5
67997,28481640,,5765,36,32,30,30
70341,13269060,,3983,75,11,,13
71424,3152820,,4495,134,29,,9.45
71424,3152820,,3952,134,29,,11.25
71424,3152820,,3950,134,29,,7.65
72343,24332040,,5583,99,27,52,10
77908,62254860,,1581,76,22,9,17
77908,62254860,,3984,71,22,9,15
77908,62254860,,2601,82,22,9,8
79252,13804800,,4440,92,1,,14
81090,14464740,,2192,49,11,,12
81090,14464740,,2200,49,11,,12
81090,14464740,,3352,49,11,,14
81090,14464740,,2085,99,11,,12
83280,29010840,,4078,92,9,34,21.7
83566,30624660,72879,4276,30,3,133,12.51
83566,30624660,72879,5291,94,3,133,16.56
83566,30624660,72879,8465,136,3,133,9
84280,16220820,,348,36,21,,23.85
84280,16220820,,4360,127,21,,9.27
84280,16220820,,3343,127,21,,13.86
84280,16220820,,1262,109,21,,9
84280,16220820,,900,109,21,,13.95
87095,24926220,,1762,71,27,130,7
88591,27267120,,4552,146,35,35,14.9
90101,3514080,,6529,75,29,,16.5
95959,5403000,,1759,71,17,,3.4
96302,58785540,,5446,94,15,207,10.94
96302,58785540,,5445,94,15,207,10.56
96302,58785540,,5445,94,15,207,10.56
96302,58785540,,5446,94,15,207,10.94
96302,58785540,,4362,127,15,207,14.9
96302,58785540,,3343,127,15,207,15.4
96554,66665760,62213,5956,140,22,211,13.7
